,Brand,Model,Year,Kilometers,No_of_owners,Fuel,Variant,Price
1304,Hyundai,i20,2009,"106,500 km",2nd,Diesel,2009-2011 1.4 Asta Optional With Sunroof,"₹ 1,88,000"
1305,Honda,City,2018,"25,000 km",1st,Diesel,V,"₹ 10,50,000"
1306,Other Brands,Others,2019,"5,000 km",1st,--,Others,"₹ 1,00,000"
1307,Maruti Suzuki,Swift,2016,"99,000 km",1st,Diesel,DDiS VDI,"₹ 5,20,000"
1308,Maruti Suzuki,800,2004,"100,000 km",3rd,Petrol,Std,"₹ 60,000"
1309,Maruti Suzuki,Swift Dzire,2020,"30,000 km",1st,Petrol,VXI,"₹ 6,70,000"
1310,Mahindra,Xylo,2012,"100,000 km",2nd,Diesel,--,"₹ 3,10,000"
1311,Tata,Nano,2014,"90,000 km",1st,Petrol,2012-2015 Twist XT,"₹ 1,08,000"
1312,Maruti Suzuki,Swift Dzire Tour,2013,"108,000 km",--,Diesel,Others,"₹ 3,40,000"
1313,Nissan,Sunny,2014,"46,000 km",1st,Petrol,XV,"₹ 4,75,000"
1314,Maruti Suzuki,Ciaz,2016,"10,500 km",1st,Petrol,2014-2017 ZXi Plus,"₹ 8,50,000"
1315,Toyota,Camry,2008,55 km,--,--,2002-2011 W3 (MT),"₹ 15,000"
1316,Toyota,Camry,2007,55 km,--,Petrol,2002-2011 W2 (AT),"₹ 30,000"
1317,Maruti Suzuki,SX4,2012,565 km,2nd,Petrol,2007-2012 ZDI,"₹ 15,000"
1318,Toyota,Innova,2011,"80,000 km",1st,Diesel,2004-2011 2.0 V,"₹ 9,00,000"
1319,Maruti Suzuki,Swift,2013,"52,000 km",1st,Petrol,VXI,"₹ 4,25,000"
1320,Volkswagen,Passat,2012,"83,000 km",2nd,Diesel,2.0 TDI AT Highline,"₹ 11,00,000"
1321,Maruti Suzuki,Swift Dzire,2019,"20,600 km",2nd,Petrol,VXI,"₹ 6,35,000"
1322,Hyundai,Santa Fe,2015,"135,000 km",1st,Diesel,Others,"₹ 11,00,000"
1323,Mahindra,Thar,2018,"15,450 km",1st,Diesel,2010-2015 CRDe AC,"₹ 8,90,000"
1324,Tata,Indigo CS,2008,"65,000 km",4th,Diesel,CS GLX,"₹ 92,000"
1325,Hyundai,i10,2009,"34,500 km",1st,Petrol,2007-2010 Sportz 1.2,"₹ 1,80,000"
1326,--,--,--,--,--,--,--,--
1327,Renault,KWID,2019,"42,500 km",1st,Petrol,1.0 RXT,"₹ 4,50,000"
1328,Maruti Suzuki,800,1999,"80,000 km",2nd,Petrol,Others,"₹ 45,000"
1329,Maruti Suzuki,Alto 800,2014,"52,000 km",1st,Petrol,VXI,"₹ 2,30,000"
1330,Hyundai,i10,2011,"78,000 km",1st,Petrol,1.2 Kappa SPORTZ,"₹ 2,60,000"
1331,Maruti Suzuki,Baleno,2017,"33,500 km",1st,Petrol,1.2 Zeta,"₹ 6,40,000"
1332,BMW,8 Series,2020,666 km,--,--,Others,"₹ 5,00,000"
1333,Maruti Suzuki,Swift,2016,"69,176 km",1st,Diesel,VDI Optional,"₹ 5,30,000"
1334,Maruti Suzuki,Wagon R,2007,"64,167 km",3rd,Petrol,2006-2010 VXI Minor,"₹ 1,75,000"
1335,Ford,Fiesta Classic,2012,"87,829 km",2nd,Diesel,Others,"₹ 2,50,000"
1336,--,--,--,--,--,--,--,--
1337,Maruti Suzuki,Zen,2003,"95,836 km",2nd,Petrol,LX,"₹ 80,000"
1338,Maruti Suzuki,Ritz,2012,"150,000 km",1st,Diesel,LDi,"₹ 2,80,000"
1339,--,--,--,--,--,--,--,"₹ 7,000"
1340,Maruti Suzuki,Swift,2017,"90,000 km",1st,Diesel,VDI,"₹ 5,70,000"
1341,Mercedes-Benz,E-Class,1987,"125,000 km",--,Diesel,--,"₹ 7,25,000"
1342,Hyundai,EON,2008,"65,000 km",2nd,Petrol,--,"₹ 1,19,000"
1343,Hyundai,Elite i20,2019,"14,000 km",1st,Petrol,Asta 1.2 (O),"₹ 7,85,000"
1344,Mahindra,Thar,2021,"2,800 km",1st,Diesel,Others,"₹ 18,00,000"
1345,Maruti Suzuki,Wagon R,2009,"79,000 km",4th,Petrol,LXI,"₹ 2,20,000"
1346,Maruti Suzuki,A-Star,2012,"51,000 km",1st,Petrol,Zxi Optional,"₹ 2,75,000"
1347,Toyota,Innova Crysta,2020,"19,000 km",1st,Diesel,Others,"₹ 22,00,000"
1348,Renault,Duster,2019,"30,000 km",2nd,Diesel,85PS Diesel RxS,"₹ 10,25,000"
1349,Toyota,Innova,2015,"166,735 km",1st,Diesel,2.5 VX (Diesel) 7 Seater BS IV,"₹ 9,65,000"
1350,Tata,Nano,2012,"70,000 km",3rd,Petrol,2012-2015 LX,"₹ 79,999"
1351,Maruti Suzuki,Swift,2010,"99,000 km",2nd,Diesel,2004-2010 Vdi BSIII,"₹ 2,60,000"
1352,Toyota,Innova,2013,"213,000 km",2nd,Diesel,2012-2013 2.5 GX (Diesel) 7 Seater BS IV,"₹ 7,90,000"
1353,Hyundai,Grand i10,2017,"70,000 km",1st,Petrol,2016-2017 Magna,"₹ 3,75,000"
1354,Hyundai,EON,2018,"23,432 km",2nd,Petrol,Era +,"₹ 2,80,000"
1355,Maruti Suzuki,800,1998,"85,000 km",2nd,Petrol,Others,"₹ 42,000"
1356,Toyota,Innova Crysta,2017,35 km,--,Diesel,--,"₹ 11,11,111"
1357,Datsun,RediGO,2018,"44,230 km",1st,Petrol,AMT 1.0 T Option,"₹ 3,28,000"
1358,Hyundai,Grand i10,2019,"8,500 km",1st,Petrol,1.2 Kappa Magna,"₹ 5,45,000"
1359,Maruti Suzuki,Alto K10,2012,"53,500 km",2nd,Petrol,VXI,"₹ 2,45,000"
1360,Audi,Q5,2011,"110,000 km",3rd,Diesel,2012-2017 2.0 TDI Premium Plus,"₹ 13,75,000"
1361,Mercedes-Benz,E-Class,2018,"45,000 km",1st,Diesel,E350 Diesel,"₹ 65,00,000"
1362,Toyota,Qualis,2004,"290,000 km",1st,Diesel,MYST L5,"₹ 2,49,000"
1363,Maruti Suzuki,Wagon R,2006,"53,037 km",4th,--,1999-2006 VXI BSIII,"₹ 1,50,000"
1364,Maruti Suzuki,Wagon R,2015,"28,233 km",2nd,Petrol,VXI AMT,"₹ 4,40,000"
1365,--,--,--,--,--,--,--,"₹ 17,999"
1366,--,--,--,--,--,--,--,"₹ 1,500"
1367,--,--,--,--,--,--,--,"₹ 2,500"
1368,Maruti Suzuki,Wagon R,2019,"60,000 km",1st,Petrol,VXI,"₹ 5,30,000"
1369,Maruti Suzuki,Swift,2018,"30,000 km",1st,Diesel,VDI,"₹ 6,65,000"
1370,Toyota,Etios Liva,2017,"14,100 km",2nd,Petrol,1.2 V,"₹ 6,15,000"
1371,Chevrolet,Aveo,2007,"100,098 km",1st,Petrol,Others,"₹ 70,000"
1372,Maruti Suzuki,800,2003,"63,000 km",2nd,Petrol,AC,"₹ 63,000"
1373,Toyota,Qualis,2001,"187,000 km",4+,Diesel,GS G1,"₹ 1,42,000"
1374,Chevrolet,Beat,2012,"22,000 km",1st,Diesel,Others,"₹ 1,90,000"
1375,Maruti Suzuki,Zen,2002,"130,000 km",3rd,Petrol,LX BSII,"₹ 70,000"
1376,Maruti Suzuki,800,2005,"93,000 km",3rd,Petrol,AC BSII,"₹ 85,000"
1377,Maruti Suzuki,Swift,2015,"70,000 km",1st,Diesel,ZDi,"₹ 6,25,000"
1378,Maruti Suzuki,800,1999,"65,000 km",2nd,Petrol,Others,"₹ 37,000"
1379,Mercedes-Benz,CLA,2014,"15,000 km",1st,Petrol,45 AMG,"₹ 37,00,000"
1380,Mahindra,XUV500,2016,"98,500 km",2nd,Diesel,AT W10 FWD,"₹ 11,25,000"
1381,Audi,A4,2012,"47,000 km",1st,Diesel,"2.0 TDI (177bhp), Premium","₹ 15,90,000"
1382,Maruti Suzuki,Swift Dzire,2016,"93,000 km",2nd,Diesel,LDI,"₹ 3,44,000"
1383,Mazda,Others,2009,"161,738 km",1st,Diesel,Others,"₹ 4,30,000"
1384,Chevrolet,Spark,2010,"80,000 km",--,--,2007-2012 1.0 LS,"₹ 90,000"
1385,Hyundai,Grand i10,2016,"97,000 km",2nd,Diesel,2013-2016 CRDi Sportz,"₹ 4,30,000"
1386,--,--,--,--,--,--,--,"₹ 16,000"
1387,Hyundai,Grand I 10,2019,"25,000 km",--,--,--,"₹ 2,50,000"
1388,Maruti Suzuki,Wagon R,2007,"100,000 km",3rd,Petrol,LXI,"₹ 1,25,000"
1389,Chevrolet,Beat,2011,"110,000 km",2nd,Diesel,2010-2013 Diesel,"₹ 95,000"
1390,Hyundai,Creta,2019,"50,000 km",--,--,--,"₹ 5,00,000"
1391,Maruti Suzuki,Alto 800,2017,"23,000 km",1st,Petrol,Others,"₹ 2,85,000"
1392,Maruti Suzuki,Swift,2021,0 km,1st,CNG & Hybrids,VXI Optional,"₹ 60,000"
1393,Mahindra,Others,2008,"5,000 km",1st,Diesel,Others,"₹ 4,00,000"
1394,Mahindra,Bolero,2010,"120,000 km",1st,Diesel,2001-2010 DIZ BSIII,"₹ 3,30,000"
1395,Maruti Suzuki,Alto 800,2021,0 km,1st,Petrol,VXI,"₹ 4,36,430"
1396,Maruti Suzuki,Alto,2010,"72,000 km",2nd,Petrol,LXi BS-IV,"₹ 1,55,000"
1397,Tata,Nano,2016,"55,000 km",1st,Petrol,XTA,"₹ 2,00,000"
1398,--,--,--,--,--,--,--,--
1399,Skoda,Rapid,2012,"99,000 km",1st,Diesel,2011-2013 1.6 TDI Ambition,"₹ 4,50,000"
1400,Ford,Figo,2010,"86,000 km",3rd,Diesel,Titanium,"₹ 2,00,000"
1401,Volkswagen,Ameo,2017,"97,000 km",2nd,Diesel,1.5 TDI Highline Plus,"₹ 5,75,000"
1402,Maruti Suzuki,Swift Dzire,2018,"25,000 km",--,--,AMT VXI,"₹ 3,00,000"
1403,Tata,Harrier,2020,"69,500 km",1st,Diesel,XZ Dark Edition,"₹ 17,00,000"
1404,Other Brands,Others,1977,"50,000 km",1st,Petrol,--,"₹ 1,80,000"
1405,--,--,--,--,--,--,--,
1406,Maruti Suzuki,Swift,2019,"15,000 km",--,--,VDI,"₹ 2,00,000"
1407,Mahindra,Scorpio,2008,"120,000 km",3rd,Diesel,2002-2013 2.6 CRDe,"₹ 2,10,000"
1408,Nissan,X-Trail,2007,"127,000 km",2nd,Diesel,2004-2009 Elegance,"₹ 2,75,000"
1409,Hyundai,EON,2014,"90,000 km",1st,Petrol,D-Lite +,"₹ 1,85,000"
1410,Hyundai,Santro Xing,2011,"65,250 km",3rd,Petrol,GL Plus,"₹ 1,80,000"
1411,Renault,KWID,2017,"40,000 km",1st,Petrol,RXT,"₹ 3,60,000"
1412,Volkswagen,Vento,2009,55 km,--,--,2010-2013 IPL II Petrol Highline,"₹ 15,000"
1413,Mercedes-Benz,E-Class,2009,5 km,--,--,Elegance 220 CDI,"₹ 15,000"
1414,BMW,7 Series,2012,5 km,--,--,760i Sedan,"₹ 15,000"
1415,Audi,A6,2013,8 km,4+,Petrol,2.0 TDI Premium Plus,"₹ 15,000"
1416,Tata,Others,2013,0 km,2nd,Diesel,Others,"₹ 2,15,000"
1417,Maruti Suzuki,Alto 800,2019,23 km,--,Petrol,--,"₹ 3,33,333"
1418,Honda,City,2017,"30,924 km",1st,Petrol,2015-2017 i VTEC SV,"₹ 8,10,000"
1419,Hyundai,Xcent,2014,"37,000 km",1st,Petrol,2014-2016 1.2 Kappa AT SX Option,"₹ 4,65,000"
1420,Ford,Fiesta,2007,"130,000 km",4th,Diesel,2004-2010 1.6 Duratec EXI,"₹ 95,000"
1421,Mitsubishi,Pajero,2006,"125,000 km",2nd,Diesel,2002-2012 2.8 GLX Sports,"₹ 4,75,000"
1422,Mercedes-Benz,New C-Class,2017,"108,000 km",1st,Diesel,C 220 CDI Avantgarde,"₹ 27,50,000"
1423,Ambassador,Others,2021,"225,524 km",1st,--,Others,"₹ 2,85,000"
1424,Mercedes-Benz,CLA,2017,"50,000 km",1st,Diesel,200 CDI Sport,"₹ 26,75,000"
1425,Hyundai,Grand i10,2018,"60,000 km",1st,Petrol,1.2 Kappa Magna AT,"₹ 4,50,000"
1426,Maruti Suzuki,Swift,2012,"49,000 km",1st,Petrol,2011-2014 Star VXI,"₹ 3,80,000"
1427,Jaguar,XF,2016,"38,000 km",1st,Diesel,2.0 Diesel Portfolio,"₹ 35,00,000"
1428,Mitsubishi,Pajero,1998,"115,000 km",2nd,Diesel,2002-2012 2.8 SFX BSIII Single Tone,"₹ 5,00,000"
1429,Ford,Ikon,2009,"141,000 km",3rd,Diesel,1.4 TDCi DuraTorq,"₹ 1,48,000"
1430,Jaguar,XF,2013,"75,000 km",2nd,Diesel,Diesel S V6,"₹ 22,00,000"
1431,Mitsubishi,Pajero,2011,"170,000 km",1st,Diesel,2002-2012 2.8 SFX BSIII Single Tone,"₹ 10,75,000"
1432,Maruti Suzuki,Alto 800,2017,"32,000 km",2nd,Petrol,LXI,"₹ 2,65,000"
1433,Maruti Suzuki,Alto K10,2013,"22,207 km",1st,Petrol,VXI,"₹ 2,50,000"
1434,Ford,Figo,2010,"90,000 km",2nd,Petrol,2010-2012 Petrol EXI,"₹ 1,65,000"
1435,Maruti Suzuki,Omni,2007,"140,000 km",2nd,Petrol,5 Seater,"₹ 92,000"
1436,Chevrolet,Spark,2011,"80,250 km",3rd,Petrol,2007-2012 1.0 LS,"₹ 1,50,000"
1437,Maruti Suzuki,Swift,2021,0 km,1st,Petrol,Others,"₹ 60,000"
1438,Toyota,Etios,2012,"150,000 km",2nd,Diesel,2010-2012 GD,"₹ 4,40,000"
1439,Hyundai,i10,2011,"58,163 km",1st,Petrol,Sportz AT,"₹ 2,75,000"
1440,Mercedes-Benz,GLA Class,2015,"69,000 km",1st,Diesel,200 CDI Style,"₹ 25,00,000"
1441,Force Motors,Others,2018,"17,000 km",1st,Diesel,Others,"₹ 8,90,000"
1442,Mercedes-Benz,CLS-Class,2012,"96,000 km",2nd,Diesel,Others,"₹ 10,00,000"
1443,Tata,Nano,2016,"51,000 km",1st,Petrol,XT,"₹ 1,70,000"
1444,Hyundai,Grand i10 Nios,2020,"28,000 km",1st,Petrol,Magna,"₹ 5,50,000"
1445,Nissan,Terrano,2017,"107,000 km",1st,Diesel,XV D THP Premium 110 PS,"₹ 8,50,000"
1446,Maruti Suzuki,Swift Dzire,2012,"105,000 km",1st,Petrol,AMT ZXI,"₹ 3,95,000"
1447,Maruti Suzuki,Ciaz,2016,"50,000 km",2nd,Petrol,2014-2017 ZXi Plus,"₹ 7,25,000"
1448,Honda,City,2010,"150,000 km",3rd,Petrol,2008-2011 1.5 V MT Exclusive,"₹ 3,50,000"
1449,Hyundai,EON,2012,"62,000 km",1st,Petrol,D-Lite +,"₹ 1,98,000"
1450,Hyundai,Santro Xing,2009,"104,000 km",2nd,Petrol,GL Plus,"₹ 1,38,000"
1451,Maruti Suzuki,Eeco,2013,"65,000 km",1st,Petrol,Smiles 5 Seater Standard,"₹ 2,75,000"
1452,Maruti Suzuki,Ritz,2009,"110,000 km",--,Petrol,2009-2011 ZXI,"₹ 1,98,000"
1453,--,--,--,--,--,--,--,"₹ 1,699"
1454,Hyundai,Verna,2012,"60,000 km",1st,Petrol,VTVT 1.6 SX Option,"₹ 4,60,000"
1455,Maruti Suzuki,Ciaz,2015,"35,525 km",1st,Diesel,2014-2017 VDi Option SHVS,"₹ 7,65,000"
1456,Jeep,Compass,2017,"49,500 km",1st,Diesel,1.4 Longitude Option,"₹ 14,00,000"
1457,Mahindra,Bolero,2018,"72,000 km",1st,Diesel,ZLX BSIII,"₹ 7,65,000"
1458,Hyundai,Verna,2015,"33,700 km",1st,Petrol,VTVT 1.4 EX,"₹ 6,25,000"
1459,Maruti Suzuki,Wagon R,2018,"6,200 km",1st,Petrol,AMT VXI Plus,"₹ 4,90,000"
1460,Honda,BR-V,2016,"38,000 km",1st,Petrol,i-VTEC S MT,"₹ 6,45,000"
1461,Nissan,Micra,2016,"100,000 km",--,--,--,"₹ 5,00,000"
1462,Mahindra,Marazzo,2019,"10,000 km",--,--,--,"₹ 1,00,000"
1463,Honda,BR-V,2014,"56,778 km",--,--,--,"₹ 5,00,000"
1464,Volkswagen,Vento,2014,"140,000 km",--,--,--,"₹ 5,00,000"
1465,Hyundai,Elite i20,2017,"53,266 km",--,--,--,"₹ 6,70,000"
1466,Honda,Amaze,2014,"56,700 km",--,Diesel,--,"₹ 4,50,000"
1467,Ford,Endeavour,2017,"45,000 km",--,--,--,"₹ 20,00,000"
1468,Hyundai,EON,2015,"60,000 km",--,--,--,"₹ 2,00,000"
1469,Ford,Ecosport,2016,"67,000 km",--,--,--,"₹ 6,50,000"
1470,Tata,Nexon,2018,"15,000 km",--,--,--,"₹ 7,50,000"
1471,Toyota,Etios,2014,"45,000 km",--,--,--,"₹ 5,00,999"
1472,Maruti Suzuki,Ritz,2012,"102,000 km",--,--,--,"₹ 3,00,000"
1473,Toyota,Innova,2015,"120,000 km",--,--,--,"₹ 8,00,000"
1474,Toyota,Fortuner,2017,"35,000 km",--,--,--,"₹ 28,00,000"
1475,BMW,3 Series,2011,"100,000 km",--,--,--,"₹ 15,00,000"
1476,Skoda,Rapid,2016.0,"200,000 km",--,--,--,"₹ 5,00,000"
1477,Kia,Seltos,2019.0,"10,000 km",--,--,--,"₹ 20,00,000"
1478,Hyundai,EON,2014,"77,000 km",2nd,Petrol,Magna +,"₹ 2,35,000"
1479,Mercedes-Benz,CLA,2017,"45,000 km",2nd,Diesel,2015-2016 200 D Sport Edition,"₹ 27,75,000"
1480,Maruti Suzuki,Eeco,2012,"35,000 km",1st,Petrol,5 Seater AC,"₹ 3,10,000"
1481,Mahindra,Others,2014,1 km,1st,Diesel,--,"₹ 2,00,000"
1482,Tata,Venture,2013,"15,000 km",1st,Diesel,GX 7 Str,"₹ 1,50,000"
1483,Mahindra,Jeep,2009,"45,300 km",2nd,Diesel,CL 550 MDI,"₹ 4,35,000"
1484,Maruti Suzuki,Omni,2006,"88,000 km",3rd,Petrol,5 Seater,"₹ 68,000"
1485,Maruti Suzuki,Zen Estilo,2009,"51,212 km",2nd,Petrol,VXI BSIV,"₹ 1,78,000"
1486,Toyota,Innova,2012,"160,000 km",2nd,Diesel,2.5 GX 7 STR BS-III,"₹ 7,90,000"
1487,Volkswagen,Vento,2011,"86,000 km",1st,Diesel,1.6 Highline,"₹ 4,00,000"
1488,--,--,--,--,--,--,--,
1489,Hyundai,EON,2014,"50,000 km",2nd,Petrol,Magna +,"₹ 2,35,000"
1490,Mahindra,TUV 300,2016,"85,000 km",1st,Diesel,mHAWK100 T8 Dual Tone,"₹ 5,50,000"
1491,Volkswagen,Polo GTI,2018,"38,000 km",2nd,Petrol,Polo GTI,"₹ 9,10,000"
1492,Honda,WR-V,2018,"25,000 km",1st,Diesel,i-DTEC VX,"₹ 9,00,000"
1493,Volkswagen,Polo GTI,2018,"33,000 km",2nd,Petrol,Polo GTI,"₹ 9,20,000"
1494,Toyota,Innova,2014,"55,000 km",2nd,Diesel,2.5 V 7 STR,"₹ 13,25,000"
1495,Toyota,Corolla Altis,2012,55 km,4+,LPG,2010-2013 1.8-JS,"₹ 15,000"
1496,Mitsubishi,Outlander,2014,555 km,4th,LPG,2.4 MIVEC,"₹ 1,80,000"
1497,Volkswagen,Polo,2013,"90,000 km",1st,Diesel,1.2 MPI Comfortline,"₹ 4,00,000"
1498,Maruti Suzuki,Wagon R,2019,"33,000 km",1st,Petrol,VXI 1.2,"₹ 5,30,000"
1499,Maruti Suzuki,Wagon R,2018,"17,000 km",--,Petrol,VXI AMT,"₹ 4,90,000"
1500,Toyota,Innova,2015,"190,000 km",1st,Diesel,2.5 VX (Diesel) 7 Seater,"₹ 9,98,000"
1501,Maruti Suzuki,Omni,2011,"60,000 km",2nd,Petrol,E MPI STD BSIV,"₹ 1,60,000"
1502,--,--,--,--,--,--,--,"₹ 68,00,000"
1503,Maruti Suzuki,Swift,2014,"97,000 km",1st,Diesel,LDI Optional,"₹ 3,55,000"
1504,Mahindra,Bolero Pik-Up,2006,"711,000 km",2nd,Diesel,Others,"₹ 3,95,000"
1505,Chevrolet,Cruze,2013,"90,000 km",1st,Diesel,LT,"₹ 3,80,000"
1506,Mahindra,Verito,2011,"82,000 km",1st,Diesel,2010-2011 1.5 D4 BSIII,"₹ 2,10,000"
1507,Tata,Nexon,2019,"30,000 km",1st,Petrol,1.2 Revotron XZA Plus,"₹ 9,00,000"
1508,Tata,Nano,2014,"58,630 km",1st,Petrol,2012-2015 Twist XT,"₹ 1,35,000"
1509,Skoda,Rapid,2017,"74,000 km",2nd,Diesel,Monte Carlo 1.5 TDI AT,"₹ 9,65,000"
1510,Toyota,Others,2021,"16,000 km",1st,Petrol,Others,"₹ 11,60,000"
1511,Toyota,Yaris,2019,"55,000 km",1st,Petrol,VX CVT,"₹ 10,50,000"
1512,Mercedes-Benz,B Class,2014,"83,000 km",2nd,--,B180 CDI,"₹ 13,50,000"
1513,Volkswagen,Polo,2021,"1,300 km",1st,Petrol,GT TSI,"₹ 11,00,000"
1514,Hyundai,Elantra,2014,"53,000 km",1st,Diesel,1.6 SX,"₹ 7,45,000"
1515,Mercedes-Benz,E-Class,2012,"147,000 km",2nd,Diesel,E 220 d,"₹ 13,00,000"
1516,Hyundai,Verna,2011,"78,900 km",1st,Diesel,2011-2014 1.6 CRDI,"₹ 4,35,000"
1517,Maruti Suzuki,Ciaz,2014,"73,000 km",2nd,Diesel,2014-2017 VDi,"₹ 6,50,000"
1518,Nissan,Sunny,2012,"113,000 km",1st,Diesel,Diesel XL,"₹ 3,38,000"
1519,Mahindra,XUV500,2013,"90,000 km",1st,Diesel,W6 2WD,"₹ 6,95,000"
1520,Maruti Suzuki,Swift,2018,79 km,--,Diesel,--,"₹ 5,99,999"
1521,Toyota,Etios,2016,"126,000 km",1st,Diesel,Etios GD SP*,"₹ 5,35,000"
1522,Volkswagen,Polo,2017,"100,000 km",1st,Petrol,2009-2013 Petrol Comfortline 1.2L,"₹ 5,60,000"
1523,Maruti Suzuki,Baleno,2020,"13,000 km",1st,Petrol,1.2 Delta,"₹ 7,15,000"
1524,Hyundai,Creta,2016,"75,000 km",1st,Diesel,1.6 SX,"₹ 9,85,000"
1525,Hyundai,Santro,2019,"7,800 km",1st,Petrol,Sportz AMT,"₹ 4,90,000"
1526,Skoda,Rapid,2018,"59,000 km",1st,Diesel,1.5 TDI Ambition,"₹ 8,25,000"
1527,Skoda,Rapid,2016,"75,000 km",2nd,Diesel,2013-2016 1.5 TDI Style Plus,"₹ 8,75,000"
1528,Toyota,Innova,2007,"899,999 km",--,--,2.5 EV Diesel PS W/O A/C 8,"₹ 1,00,000"
1529,Hyundai,Santro Xing,2013,"656,565 km",--,Petrol,--,"₹ 15,000"
1530,Maruti Suzuki,Esteem,2001,"29,000 km",2nd,Petrol,Vxi,"₹ 65,000"
1531,--,--,--,--,--,--,--,--
1532,Maruti Suzuki,Swift,2015,"78,000 km",2nd,Diesel,LDI BSIV,"₹ 4,15,000"
1533,Hyundai,Grand i10,2016,"33,000 km",2nd,Petrol,2016-2017 Magna,"₹ 4,05,000"
1534,Maruti Suzuki,Wagon R,2015,"70,000 km",2nd,Petrol,LXI BS IV,"₹ 3,25,000"
1535,Toyota,Land Cruiser,2009,"175,000 km",3rd,Diesel,Others,"₹ 40,00,000"
1536,MG,Hector,2021,"1,100 km",1st,Petrol,Others,"₹ 24,50,000"
1537,Bentley,Continental Flying Spur,2012,"53,000 km",2nd,Petrol,Flying Spur W12,"₹ 1,15,00,000"
1538,Maruti Suzuki,Estilo,2010,"71,296 km",2nd,Petrol,LXI,"₹ 1,95,000"
1539,Hyundai,EON,2013,55 km,--,--,D-Lite O,"₹ 25,000"
1540,Honda,City,2011,55 km,--,--,2008-2011 1.5 V AT,"₹ 30,000"
1541,Toyota,Innova,2013,"555,555 km",2nd,Diesel,2009-2011 2.0 GX 8 STR,"₹ 15,000"
1542,Chevrolet,Optra,2016,"555,555 km",1st,CNG & Hybrids,1.8 LS,"₹ 1,50,000"
1543,Tata,Manza,2019,"555,555 km",1st,Diesel,Aqua-Safire,"₹ 15,000"
1544,Tata,Nano,2016,"555,555 km",2nd,CNG & Hybrids,2012-2015 CX,"₹ 15,000"
1545,Tata,Indigo,2011,"222,222 km",4+,Petrol,LS,"₹ 15,000"
1546,Toyota,Corolla Altis,2016,"566,656 km",1st,CNG & Hybrids,1.8 GL,"₹ 15,000"
1547,Maruti Suzuki,Alto,2019,"565,656 km",1st,CNG & Hybrids,LX BS-IV,"₹ 15,000"
1548,Mahindra,Armada,2017,"565,656 km",1st,Diesel,--,"₹ 15,000"
1549,Hyundai,Accent,2014,"656,565 km",3rd,LPG,GLE,"₹ 15,000"
1550,Honda,City ZX,2016,"565,656 km",2nd,LPG,GXi,"₹ 15,000"
1551,Chevrolet,Aveo,2019,"565,656 km",1st,Diesel,1.4 LS Limited Edition,"₹ 15,000"
1552,Ford,Fiesta,2019,"565,665 km",4+,Diesel,2008-2011 1.6 Duratec EXI Ltd,"₹ 15,000"
1553,Hyundai,i10,2010,"64,000 km",2nd,--,--,"₹ 2,25,000"
1554,Toyota,Camry,2007,5 km,--,Petrol,2002-2011 W4 (AT),"₹ 3,00,000"
1555,Toyota,Innova,2010,550 km,--,--,2009-2011 2.0 G4 Petrol 8-seater,"₹ 1,50,000"
1556,Honda,City,2018,"14,000 km",1st,Petrol,VX CVT,"₹ 11,25,000"
1557,Lamborghini,Gallardo,2013,"10,000 km",2nd,Petrol,Spyder,"₹ 1,35,00,000"
1558,Ford,Figo,2012,"80,000 km",3rd,Diesel,1.2P Ambiente MT,"₹ 1,75,000"
1559,Maruti Suzuki,Swift,2006,"92,000 km",2nd,Petrol,2004-2010 1.3 VXi,"₹ 1,50,000"
1560,Maruti Suzuki,Ritz,2010,"114,000 km",2nd,Diesel,VDi,"₹ 2,38,000"
1561,Chevrolet,Beat,2012,"82,500 km",2nd,Diesel,2010-2013 Diesel LT Option,"₹ 1,90,000"
1562,Skoda,Laura,2006,"120,000 km",2nd,Diesel,Laura 2.0 TDI AT L and K,"₹ 1,75,000"
1563,Mahindra,Thar,2021,"7,000 km",1st,Diesel,CRDE 4X4 BS IV,"₹ 18,25,000"
1564,Maruti Suzuki,Swift,2016,"71,000 km",--,Petrol,VXI,"₹ 4,50,000"
1565,Toyota,Innova,2006,"210,000 km",2nd,Diesel,2.5 V 7 STR,"₹ 3,55,000"
1566,Honda,City,2015,"100,000 km",1st,Diesel,2015-2017 i DTec SV,"₹ 6,79,000"
1567,--,--,--,--,--,--,--,"₹ 68,00,000"
1568,Ford,Fiesta,2011,"106,000 km",2nd,Diesel,2011-2013 Diesel Style,"₹ 2,15,000"
1569,MG,Hector,2021,"5,000 km",1st,Petrol,Sharp AT,"₹ 19,90,000"
1570,--,--,--,--,--,--,--,
1571,Fiat,Premier Padmini,1988,"88,000 km",4th,Petrol,Others,"₹ 1,45,000"
1572,Maruti Suzuki,Swift,2018,"64,000 km",1st,Diesel,2018 VDI,"₹ 6,65,000"
1573,Hyundai,EON,2012,"78,000 km",2nd,Petrol,Era +,"₹ 1,79,999"
1574,Hyundai,i20,2012,"68,000 km",2nd,Diesel,1.4 Asta,"₹ 3,80,000"
1575,Mahindra,Bolero,2006,"100,000 km",2nd,Diesel,XL10 Str,"₹ 1,99,000"
1576,Toyota,Innova,2011,"155,000 km",1st,Diesel,2.5 VX (Diesel) 7 Seater BS IV,"₹ 7,90,000"
1577,Mahindra,XUV500,2017,"74,500 km",1st,Diesel,W10 2WD,"₹ 13,10,000"
