,Brand,Model,Year,Kilometers,No_of_owners,Fuel,Variant,Price
4224,Maruti Suzuki,800,2007,"98,000 km",3rd,Petrol,Std,"₹ 65,000"
4225,Maruti Suzuki,Eeco,2017,"100,009 km",2nd,LPG,CNG 5 Seater AC,"₹ 2,95,000"
4226,Mahindra,XUV500,2014,"93,000 km",1st,Diesel,2011-2015 W6 2WD,"₹ 6,80,000"
4227,Mahindra,Others,2016,"80,000 km",2nd,Diesel,Others,"₹ 6,99,000"
4228,Maruti Suzuki,Wagon R Duo,2009,"65,000 km",1st,Petrol,Others,"₹ 1,65,000"
4229,Honda,Accord,2007,"50,000 km",2nd,LPG,Accord 2.4 Inspire Automatic,"₹ 1,90,000"
4230,Maruti Suzuki,Swift Dzire,2011,"200,000 km",1st,Diesel,VDI Optional,"₹ 2,15,000"
4231,Maruti Suzuki,Wagon R,2011,"75,000 km",2nd,Petrol,2010-2012 LXI BSII,"₹ 2,60,000"
4232,Bajaj,RE60,2021,"12,000 km",1st,LPG,Others,"₹ 15,000"
4233,Maruti Suzuki,Baleno,2020,"20,000 km",1st,Petrol,1.2 Delta,"₹ 6,25,000"
4234,Hyundai,EON,2017,"41,000 km",2nd,LPG,Magna Plus,"₹ 3,10,000"
4235,Mahindra,Others,2013,"185,000 km",1st,Diesel,Others,"₹ 1,00,000"
4236,Mahindra,Bolero Pik-Up,2012,11 km,3rd,Diesel,CBC 1.7T,"₹ 35,000"
4237,Mahindra,Others,2019,"30,575 km",1st,Diesel,Others,"₹ 8,25,000"
4238,Skoda,Octavia,2013,"22,000 km",1st,Petrol,2013-2017 Ambition Plus 1.4 TSI MT,"₹ 9,75,000"
4239,Chevrolet,Spark,2008,"65,000 km",3rd,Petrol,1.0 LS,"₹ 1,00,000"
4240,Maruti Suzuki,Wagon R Duo,2010,"33,000 km",1st,Petrol,Others,"₹ 2,45,000"
4241,Toyota,Innova,2013,"128,500 km",1st,Diesel,2.0 VX 7 STR BS-IV,"₹ 7,80,000"
4242,Hyundai,Santro Xing,2007,"42,300 km",2nd,Petrol,GL,"₹ 1,38,000"
4243,--,--,--,--,--,--,--,--
4244,Skoda,Rapid,2014,"93,000 km",2nd,Diesel,1.5 TDI CR Elegance Plus,"₹ 3,91,000"
4245,Honda,Amaze,2017,"92,000 km",2nd,Diesel,1.5 SMT I DTEC,"₹ 5,50,000"
4246,Maruti Suzuki,Celerio,2014,"81,000 km",2nd,Petrol,VXI Optional AMT,"₹ 3,35,000"
4247,Mahindra,Verito,2012,"80,000 km",1st,Diesel,1.5 D6 BSIV,"₹ 2,51,000"
4248,Chevrolet,Tavera,2012,"200,000 km",3rd,Diesel,2012-2017 Neo 3 LS 10 Str,"₹ 3,00,000"
4249,Mahindra,Scorpio,2010,"212,000 km",2nd,Diesel,2009-2014 VLX 2WD BSIII,"₹ 4,11,000"
4250,Volkswagen,Polo,2015,"98,000 km",2nd,Diesel,1.5 TDI Comfortline,"₹ 4,25,000"
4251,Maruti Suzuki,Alto 800,2016,"41,000 km",2nd,Petrol,2012-2016 LXI,"₹ 2,90,000"
4252,Maruti Suzuki,Ciaz,2017,"81,000 km",2nd,Diesel,2014-2017 RS ZDi Plus SHVS,"₹ 6,91,000"
4253,Ford,Figo,2014,"86,000 km",2nd,Diesel,2012-2015 Diesel ZXI,"₹ 2,29,000"
4254,Nissan,Micra,2011,"83,000 km",3rd,Diesel,2010-2012 XV,"₹ 1,95,000"
4255,Mahindra,Quanto,2013,"91,000 km",1st,Diesel,C4,"₹ 2,99,000"
4256,Hyundai,i20,2012,"74,000 km",2nd,Diesel,Magna 1.4 CRDI 6 Speed,"₹ 3,50,000"
4257,Hyundai,i20,2013,"72,000 km",2nd,Diesel,Magna 1.4 CRDI 6 Speed,"₹ 3,51,000"
4258,Ford,Figo,2015,"96,000 km",2nd,Diesel,Duratorq EXI 1.4,"₹ 2,90,000"
4259,Maruti Suzuki,Swift Dzire,2016,"41,000 km",1st,Diesel,VDI,"₹ 6,50,000"
4260,Maruti Suzuki,Swift Dzire,2018,"62,000 km",1st,Diesel,VDI Optional,"₹ 7,45,000"
4261,Hyundai,EON,2014,"40,000 km",2nd,Petrol,Era +,"₹ 2,20,000"
4262,Honda,City,2009,"85,000 km",3rd,Petrol,2008-2011 1.5 V MT,"₹ 2,80,000"
4263,Hyundai,i10,2010,"156,000 km",2nd,Petrol,Magna 1.2 iTech SE,"₹ 1,60,000"
4264,Maruti Suzuki,Swift,2010,"59,000 km",2nd,Petrol,VXI,"₹ 2,10,000"
4265,Maruti Suzuki,Omni,2007,"90,000 km",4th,LPG,Others,"₹ 65,000"
4266,Maruti Suzuki,Alto 800,2018,"40,000 km",1st,Petrol,LXI,"₹ 2,90,000"
4267,Fiat,Linea,2012,"117,500 km",1st,Diesel,2007-2013 Dynamic Pack (Diesel),"₹ 2,00,000"
4268,Renault,Duster,2013,"88,700 km",2nd,Diesel,110PS Diesel RxL,"₹ 3,50,000"
4269,Chevrolet,Enjoy,2014,"155,000 km",2nd,Diesel,1.3 TCDi LT 8,"₹ 3,20,000"
4270,Hyundai,Fluidic Verna,2012,"68,000 km",2nd,Diesel,1.6 CRDi SX,"₹ 4,85,000"
4271,Chevrolet,Beat,2012,"40,000 km",1st,Diesel,2010-2013 Diesel LT,"₹ 1,20,000"
4272,Maruti Suzuki,Swift Dzire,2012,"100,000 km",3rd,Diesel,VDI,"₹ 2,50,000"
4273,Renault,Koleos,2014,"44,500 km",2nd,Diesel,4X4 AT,"₹ 8,21,000"
4274,Maruti Suzuki,Alto K10,2019,50 km,1st,Petrol,K10 VXi (O),"₹ 4,00,000"
4275,Hyundai,EON,2018,"43,000 km",1st,Petrol,Era +,"₹ 3,00,000"
4276,Maruti Suzuki,Swift Dzire,2014,"82,000 km",1st,Diesel,VDI,"₹ 4,85,000"
4277,Tata,Tiago NRG,2019,"15,000 km",1st,Petrol,Petrol,"₹ 5,95,000"
4278,Toyota,Etios Liva,2014,"87,000 km",2nd,Diesel,Etios Liva GD SP*,"₹ 3,40,000"
4279,Maruti Suzuki,Swift,2014,"92,000 km",1st,Diesel,LDI Optional,"₹ 3,85,000"
4280,Hyundai,i10,2011,"63,000 km",2nd,Petrol,Sportz 1.2 KAPPA VTVT,"₹ 2,45,000"
4281,Maruti Suzuki,Alto,2007,"86,000 km",1st,LPG,LX,"₹ 1,05,000"
4282,Mahindra,Jeep,1998,0 km,1st,Diesel,CL 550 MDI,"₹ 1,85,000"
4283,Mahindra,Bolero,2012,"150,000 km",3rd,Diesel,2001-2010 DI DX 7 Seater,"₹ 3,75,000"
4284,Mahindra,Scorpio,2013,"81,000 km",1st,Diesel,2002-2013 VLX 2.2 mHawk Airbag BSIV,"₹ 4,70,000"
4285,Maruti Suzuki,Alto,2010,"68,000 km",4+,Petrol,LX,"₹ 1,50,000"
4286,Hyundai,i10,2009,130 km,2nd,CNG & Hybrids,2007-2010 Era 1.1,"₹ 1,20,000"
4287,Maruti Suzuki,800,2007,"2,053 km",3rd,Petrol,AC,"₹ 80,000"
4288,Maruti Suzuki,Alto,2008,22 km,2nd,Petrol,2005-2010 STD,"₹ 1,00,000"
4289,Hyundai,Creta,2019,"50,000 km",1st,Diesel,1.6 SX Option Diesel,"₹ 14,00,000"
4290,Mahindra,Supro,2018,"15,000 km",1st,Diesel,Others,"₹ 4,50,000"
4291,Mahindra,Others,2007,15 km,2nd,Diesel,Others,"₹ 3,90,000"
4292,Maruti Suzuki,Omni,2010,20 km,1st,CNG & Hybrids,CNG,"₹ 80,000"
4293,Tata,Sumo Gold,2015,"180,000 km",2nd,Diesel,Gold LX BSIII,"₹ 3,00,000"
4294,Mahindra,Others,2004,"159,000 km",4+,Diesel,Others,"₹ 3,20,000"
4295,Honda,Jazz,2017,"36,000 km",1st,Petrol,1.2 SV i VTEC,"₹ 5,70,000"
4296,Ford,Endeavour,2019,"112,000 km",1st,Diesel,2.2 Titanium AT 4X2 Sunroof,"₹ 28,50,000"
4297,Hyundai,Xcent,2017,"53,000 km",1st,Petrol,1.2 VTVT S,"₹ 4,50,000"
4298,Chevrolet,Beat,2013,"76,854 km",1st,Diesel,Diesel PS,"₹ 1,50,000"
4299,Maruti Suzuki,Swift Dzire,2011,"82,451 km",2nd,Petrol,VXI,"₹ 3,35,000"
4300,Maruti Suzuki,800,2005,"80,542 km",4th,Petrol,Others,"₹ 60,000"
4301,Maruti Suzuki,Alto,2008,"140,000 km",3rd,Petrol,LX,"₹ 65,000"
4302,Chevrolet,Beat,2013,"59,000 km",2nd,Diesel,2014-2016 Diesel LS,"₹ 2,01,000"
4303,Maruti Suzuki,Alto K10,2015,"50,000 km",1st,Petrol,K10 VXi (O),"₹ 2,60,000"
4304,--,--,--,--,--,--,--,"₹ 3,000"
4305,--,--,--,--,--,--,--,"₹ 4,000"
4306,Maruti Suzuki,Alto,2011,"120,000 km",2nd,Petrol,LXi,"₹ 1,70,000"
4307,Mahindra,Jeep,2004,13 km,3rd,Diesel,CL 500 MDI,"₹ 3,10,000"
4308,Ford,Fusion,2005,"70,000 km",2nd,Petrol,Plus 1.6 Duratec Petrol,"₹ 90,000"
4309,Maruti Suzuki,Vitara Brezza,2016,"40,000 km",1st,Diesel,ZDi Plus AMT Dual Tone,"₹ 8,85,000"
4310,Maruti Suzuki,Swift,2005,"85,000 km",3rd,Petrol,2004-2010 VXI with ABS,"₹ 1,75,000"
4311,Mahindra,Bolero,2013,15 km,1st,Diesel,Camper,"₹ 4,25,000"
4312,Fiat,Punto EVO,2015,"58,000 km",1st,Diesel,EVO Dynamic Multijet 1.3,"₹ 3,00,000"
